#Software: ToolsManage
#ProcessID: 7412
#AppDomain: ToolsManage.vshost.exe
#BaseDirectory: F:\科能软件\库房软件\陈海涛移交\库房\软件\上海长兴库房软件\ToolsManage\ToolsManage\bin\Debug\
#CommandLine: "F:\科能软件\库房软件\陈海涛移交\库房\软件\上海长兴库房软件\ToolsManage\ToolsManage\bin\Debug\ToolsManage.vshost.exe" 
#ApplicationType: WinForm
#CLR: 4.0.30319.42000, .NET Framework 4
#OS: Windows 10.0 x64, Microsoft Windows NT 6.2.9200.0, Administrator/SHUGUANG
#Memory: 7,233M/11,985M
#CPU: 4
#Date: 2018-09-28
#字段: 时间 线程ID 线程池Y网页W普通N 线程名 消息内容
#Fields: Time ThreadID IsPoolThread ThreadName Message
08:21:02.808  7 N - NewLife.Core v6.6.2018.0211 Build 2018-06-14 10:56:08 .NET Framework 4
08:21:02.811  7 N - 组件核心库 ©2002-2017 新生命开发团队 http://git.newlifex.com/NewLife/X
08:21:02.811  7 N - ToolsManage v1.0.0.0 Build 2000-01-01 .NET Framework 4
08:21:02.811  7 N - ToolsManage Copyright © Lenovo 2015
08:21:02.811  7 N - XCode v9.6.2017.0808 Build 2018-06-14 10:56:10 .NET Framework 4
08:21:02.812  7 N - 大数据中间件 ©2002-2017 新生命开发团队 http://www.NewLifeX.com
08:21:04.523  7 N - ToolsManage 设定 Data Source=.;Initial Catalog=ToolsManage;user=sa;password=123456;
08:21:04.526  7 N - ToolsManage 格式 Data Source=.;Initial Catalog=ToolsManage;user=sa;password=123456;Pooling=false;Application Name=XCode_ToolsManage.vshost.exe_ToolsManage
08:21:04.539  7 N - 集中初始化表架构时没赶上，现在补上！
08:21:04.541  7 N - 开始同步检查表[TbRoominfo/SqlServer]的数据表架构……
08:21:04.563  7 N - System.Data.SqlClient.Sql驱动C:\windows\Microsoft.Net\assembly\GAC_32\System.Data\v4.0_4.0.0.0__b77a5c561934e089\System.Data.dll 版本v4.0.0.0
08:21:04.587  7 N - [ToolsManage]GetSchema("MetaDataCollections")
08:21:04.623  7 N - [ToolsManage]GetSchema("Databases", "ToolsManage")
08:21:04.842  7 N - select b.name n, a.value v from sys.extended_properties a inner join sysobjects b on a.major_id=b.id and a.minor_id=0 and a.name = 'MS_Description'
08:21:04.893  7 N - [ToolsManage]GetSchema("Tables")
08:21:05.030  7 N - SELECT 表名=d.name,字段序号=a.colorder,字段名=a.name,标识=case when COLUMNPROPERTY( a.id,a.name,'IsIdentity')=1 then Convert(Bit,1) else Convert(Bit,0) end,主键=case when exists(SELECT 1 FROM sysobjects where xtype='PK' and name in (SELECT name FROM sysindexes WHERE id = a.id AND indid in(SELECT indid FROM sysindexkeys WHERE id = a.id AND colid=a.colid))) then Convert(Bit,1) else Convert(Bit,0) end,类型=b.name,占用字节数=a.length,长度=COLUMNPROPERTY(a.id,a.name,'PRECISION'),小数位数=isnull(COLUMNPROPERTY(a.id,a.name,'Scale'),0),允许空=case when a.isnullable=1 then Convert(Bit,1)else Convert(Bit,0) end,默认值=isnull(e.text,''),字段说明=isnull(g.[value],'')FROM syscolumns a left join systypes b on a.xtype=b.xusertype inner join sysobjects d on a.id=d.id  and d.xtype='U' left join syscomments e on a.cdefault=e.id left join sys.extended_properties g on a.id=g.major_id and a.colid=g.minor_id and g.name = 'MS_Description'  order by a.id,a.colorder
08:21:05.493  7 N - select ind.* from sys.indexes ind inner join sys.objects obj on ind.object_id = obj.object_id where obj.type='u'
08:21:05.555  7 N - [ToolsManage]GetSchema("Columns")
08:21:05.656  7 N - [ToolsManage]GetSchema("Indexes")
08:21:05.698  7 N - [ToolsManage]GetSchema("IndexColumns")
